PID,GROUP,num_incorrects_S1,num_corrects_S1,num_corrects_first_try_S1,num_corrects_first_try_no_hint_S1,num_hints_requested_S1,num_problems_hint_received_S1,num_denied_hints_S1,potential_auto_hints_S1,num_attempts_before_hint1_S1,num_attempts_before_hint2_S1,num_attempts_before_hint3_S1,num_attempts_after_hint3_S1,num_erratic_hint_requests_S1,average_attempts_before_hint1_S1,average_time_until_hint1_S1,average_time_until_hint1_normalized_S1,average_time_until_attempt1_S1,average_problem_length_S1,average_attempts_between_hints_S1,average_time_between_hints_normalized_S1,average_num_hints_until_correct_S1,average_num_attempts_until_correct_S1,num_give_up_S1,num_give_up_last_hint_S1,num_incorrects_S2,num_corrects_S2,num_corrects_first_try_S2,num_corrects_first_try_no_hint_S2,num_hints_requested_S2,num_problems_hint_received_S2,num_denied_hints_S2,potential_auto_hints_S2,num_attempts_before_hint1_S2,num_attempts_before_hint2_S2,num_attempts_before_hint3_S2,num_attempts_after_hint3_S2,num_erratic_hint_requests_S2,average_attempts_before_hint1_S2,average_time_until_hint1_S2,average_time_until_hint1_normalized_S2,average_time_until_attempt1_S2,average_problem_length_S2,average_attempts_between_hints_S2,average_time_between_hints_normalized_S2,average_num_hints_until_correct_S2,average_num_attempts_until_correct_S2,num_give_up_S2,num_give_up_last_hint_S2,num_incorrects_S3,num_corrects_S3,num_corrects_first_try_S3,num_corrects_first_try_no_hint_S3,num_hints_requested_S3,num_problems_hint_received_S3,num_denied_hints_S3,potential_auto_hints_S3,num_attempts_before_hint1_S3,num_attempts_before_hint2_S3,num_attempts_before_hint3_S3,num_attempts_after_hint3_S3,num_erratic_hint_requests_S3,average_attempts_before_hint1_S3,average_time_until_hint1_S3,average_time_until_hint1_normalized_S3,average_time_until_attempt1_S3,average_problem_length_S3,average_attempts_between_hints_S3,average_time_between_hints_normalized_S3,average_num_hints_until_correct_S3,average_num_attempts_until_correct_S3,num_give_up_S3,num_give_up_last_hint_S3,num_incorrects_S4,num_corrects_S4,num_corrects_first_try_S4,num_corrects_first_try_no_hint_S4,num_hints_requested_S4,num_problems_hint_received_S4,num_denied_hints_S4,potential_auto_hints_S4,num_attempts_before_hint1_S4,num_attempts_before_hint2_S4,num_attempts_before_hint3_S4,num_attempts_after_hint3_S4,num_erratic_hint_requests_S4,average_attempts_before_hint1_S4,average_time_until_hint1_S4,average_time_until_hint1_normalized_S4,average_time_until_attempt1_S4,average_problem_length_S4,average_attempts_between_hints_S4,average_time_between_hints_normalized_S4,average_num_hints_until_correct_S4,average_num_attempts_until_correct_S4,num_give_up_S4,num_give_up_last_hint_S4
1,0,27,3,2,1,19,7,3,2,2,0,6,21,14,0.285714285714,0.672570764117,0.294111480818,150.658063,313.019354125,0.166666666667,0.12956601269,1.66666666667,1.66666666667,10,7,7,7,6,4,12,4,3,0,1,0,1,8,8,0.25,0.695724992411,0.320788777149,53.605400125,83.338269875,0.125,0.155594727875,1.28571428571,1.28571428571,1,1,17,5,3,3,11,5,2,3,4,3,2,10,11,0.8,0.572335846093,0.34338281955,79.640016625,162.342522625,0.333333333333,0.0767473051898,0.8,1.4,8,4,11,6,5,3,15,5,5,0,1,0,0,13,14,0.2,0.481184656286,0.216837510194,95.42785675,241.833163,0.0,0.101195009598,1.5,1.16666666667,3,3
2,1,13,6,3,1,15,5,4,0,0,1,0,13,5,0.0,0.89110132819,0.285886273806,149.191604625,228.28029825,0.1,0.102400065716,1.5,1.5,5,5,5,8,5,5,6,2,1,0,1,0,2,3,0,0.5,1.06907005267,0.30322192445,41.923958875,64.079332625,0.5,0.268355291285,0.75,1.625,0,0,10,7,3,3,8,3,1,0,3,0,3,4,0,1.0,2.20803308206,0.565371515549,46.443608375,71.790015125,0.4,0.123331317831,0.714285714286,1.71428571429,2,2,9,7,4,4,9,3,2,0,1,0,3,6,4,0.333333333333,0.795043757427,0.217713957972,46.81267825,80.25144425,0.5,0.198807800581,0.857142857143,1.57142857143,2,2
3,-1,0,8,8,5,7,3,1,0,0,0,2,1,0,0.0,0.264385064954,0.29175405777,85.176785625,80.943896,0.0,0.167496061826,0.875,1.0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,31.82732525,28.21638925,0,0,0.0,1.0,0,0,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
4,0,11,6,5,5,0,0,0,4,0,0,0,0,0,0,0,0,59.78474,174.601922625,0,0,0.0,1.16666666667,4,0,1,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,30.030680875,33.988291875,0,0,0.0,1.125,0,0,12,7,5,5,4,2,0,3,4,2,4,0,0,2.0,2.22757998507,0.390644647256,48.925345375,202.269392625,1.0,0.365305312046,0.285714285714,2.0,1,0,1,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,51.40884525,58.5223925,0,0,0.0,1.125,0,0
5,0,3,8,6,3,7,4,0,0,1,2,2,1,0,0.25,1.08993821292,0.582211817456,103.040001375,150.188393875,0.333333333333,0.320724165871,0.875,1.375,0,0,2,8,7,7,3,1,0,0,1,0,1,1,0,1.0,3.29796229531,0.480364603641,38.854266625,65.153522875,0.5,0.234478676586,0.375,1.25,0,0,8,7,4,4,3,1,0,1,1,0,2,2,0,1.0,1.92359801655,0.304222283143,32.63309575,68.040626875,1.0,0.267209918015,0.0,1.42857142857,0,0,2,8,6,6,1,1,0,0,1,1,0,0,0,1.0,1.7829239877,0.957432072357,28.31468,37.3917785,0,0,0.125,1.25,0,0
6,1,1,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,78.673207,84.846766125,0,0,0.0,1.125,0,0,2,8,7,7,1,1,0,1,2,1,0,0,0,2.0,2.0233943093,0.764371063702,34.462086625,37.577076,0,0,0.125,1.25,0,0,2,8,7,7,1,1,0,1,2,1,0,0,0,2.0,3.83741767983,0.650156680497,46.145490375,88.853815625,0,0,0.125,1.25,0,0,4,8,6,6,3,2,0,2,4,1,1,0,0,2.0,1.96793753331,0.691737643112,60.832879,121.821211,0.0,0.498385559122,0.375,1.5,0,0
7,1,15,6,2,1,19,7,2,1,1,1,5,13,21,0.142857142857,0.577514081357,0.235088114969,270.91050425,401.579044375,0.333333333333,0.20348925559,2.16666666667,1.83333333333,2,2,4,8,6,4,9,4,2,1,0,1,4,3,5,0.0,0.322891803111,0.21992477848,113.20505375,154.495120875,0.6,0.324046626839,1.125,1.5,1,0,1,8,7,7,3,1,0,0,0,0,1,1,4,0.0,0.270534491584,0.0746998629051,88.2076045,104.880156875,0.5,0.11195943388,0.375,1.125,0,0,13,6,4,3,12,5,1,1,3,1,5,7,7,0.6,1.47476303756,0.447185171891,151.220868,263.392547625,0.571428571429,0.114226628331,1.0,1.5,4,3
8,0,8,7,5,4,8,4,1,0,3,2,1,5,2,0.75,1.05093227271,0.384041613308,58.257826,110.753774375,0.25,0.166618692238,0.714285714286,1.42857142857,0,0,5,8,6,6,3,1,0,1,0,1,2,2,0,0.0,2.26014848775,0.246247619409,34.84436475,68.70711625,1.5,0.253735435489,0.375,1.625,0,0,11,7,3,3,11,4,0,1,3,2,4,4,0,0.75,1.58120971264,0.390386486572,47.98710575,85.689865625,0.714285714286,0.286492138494,1.14285714286,1.85714285714,1,0,2,8,6,6,5,2,1,0,1,0,1,2,1,0.5,0.878661967069,0.423059095912,45.22660525,62.53340825,0.0,0.143842487478,0.625,1.25,0,0
9,1,20,5,3,3,12,4,3,2,7,1,0,12,1,1.75,2.26193976866,0.490514483781,83.699046875,176.687171375,0.125,0.122892296462,0.6,2.0,4,2,9,7,5,4,8,4,1,2,3,4,3,2,0,0.75,1.59711286171,0.518751082125,54.371521125,101.2444635,1.0,0.253567453443,0.714285714286,1.57142857143,0,0,3,8,5,4,4,3,0,0,2,2,1,0,0,0.666666666667,0.732709455925,0.638208028992,47.300533625,77.41003,0.0,0.070735732336,0.5,1.375,0,0,4,8,7,6,4,2,0,1,0,1,2,3,0,0.0,1.40284743996,0.599897814687,48.9785345,78.781989625,1.0,0.199376145363,0.5,1.5,0,0
10,0,6,8,4,2,11,5,3,0,3,2,0,5,1,0.6,0.98965315683,0.539122519411,81.5631,208.984126,0.0,0.0606341727611,1.375,1.75,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,21.06981125,17.480306125,0,0,0.0,1.0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,43.574221375,38.38709775,0,0,0.0,1.0,0,0,2,8,6,6,4,2,1,0,2,1,0,1,0,1.0,1.48695853062,0.550489759059,26.03607575,52.86390125,0.0,0.269634948143,0.5,1.25,0,0
